City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
329,Ancud,CL,-41.8697,-73.8203,52.36,71,100,1.79,overcast clouds
330,Penalva,BR,-3.2942,-45.1736,79.9,71,78,6.04,broken clouds
331,Dese,ET,11.1333,39.6333,54.0,73,56,2.82,broken clouds
332,Curuca,BR,-0.7289,-47.8481,74.88,93,77,4.79,broken clouds
333,Joshimath,IN,30.5667,79.5667,61.39,87,91,0.94,light rain
334,Veraval,IN,20.9,70.3667,79.45,79,9,9.13,clear sky
335,Hambantota,LK,6.1241,81.1185,77.34,100,40,8.05,scattered clouds
336,Tromso,NO,69.6496,18.957,37.38,86,2,2.3,clear sky
337,Manokwari,ID,-0.8667,134.0833,79.36,74,81,2.51,broken clouds
338,Krasnyy Chikoy,RU,50.3643,108.7512,24.98,87,87,2.39,overcast clouds
339,Miramar,US,25.9873,-80.2323,83.01,74,75,10.36,broken clouds
340,Ulaangom,MN,49.9811,92.0667,24.49,45,16,2.53,few clouds
341,Burnie,AU,-41.0667,145.9167,47.95,76,6,3.31,clear sky
342,Praia,CV,14.9215,-23.5087,78.48,76,35,12.75,scattered clouds
343,Lipin Bor,RU,60.2622,37.9763,43.18,90,100,7.02,overcast clouds
